schemaname,table_name,est_live_rows,est_dead_rows,table_bytes,index_bytes,total_bytes
public,post,476152,28527,555220992,284319744,1089921024
app_private,message,1797702,228,655581184,262135808,935272448
staging_digitalocean_supost,message_staging_import,1796703,0,639172608,123158528,779698176
staging_digitalocean_supost,post_staging_import,473411,0,389611520,0,431833088
app_private,account,161207,0,41426944,48586752,90062848
staging_digitalocean_supost,post_staging_import_latest,30998,0,24641536,712704,27721728
app_private,scammer,4918,0,393216,425984,860160
app_private,spammer,1149,0,98304,139264,278528
app_private,message_orphan_archive,226,0,90112,0,139264
supabase_migrations,schema_migrations,11,50,49152,16384,131072
auth,users,0,0,0,90112,98304
app_private,message_scam_rule,229,0,24576,32768,90112
auth,one_time_tokens,0,0,0,81920,90112
auth,refresh_tokens,0,0,0,57344,65536
auth,mfa_factors,0,0,0,49152,57344
auth,custom_oauth_providers,0,0,0,49152,57344
storage,objects,0,0,0,40960,49152
public,subcategory,63,0,8192,32768,49152
auth,sessions,0,0,0,40960,49152
auth,oauth_consents,0,0,0,40960,49152
storage,migrations,57,0,8192,32768,40960
auth,saml_relay_states,0,0,0,32768,40960
auth,identities,0,0,0,32768,40960
auth,oauth_authorizations,0,0,0,32768,40960
auth,flow_state,0,0,0,32768,40960
realtime,subscription,0,0,0,24576,32768
auth,sso_domains,0,0,0,24576,32768
public,category,10,0,8192,16384,32768
auth,saml_providers,0,0,0,24576,32768
auth,sso_providers,0,0,0,24576,32768
auth,audit_log_entries,0,0,0,16384,24576
vault,secrets,0,0,0,16384,24576
auth,schema_migrations,75,0,8192,16384,24576
storage,s3_multipart_uploads,0,0,0,16384,24576
auth,oauth_client_states,0,0,0,16384,24576
auth,oauth_clients,0,0,0,16384,24576
auth,mfa_challenges,0,0,0,16384,24576
auth,mfa_amr_claims,0,0,0,16384,24576
realtime,schema_migrations,68,0,8192,16384,24576
storage,vector_indexes,0,0,0,16384,24576
storage,buckets_analytics,0,0,0,16384,24576
storage,buckets,0,0,0,16384,24576
supabase_migrations,seed_files,0,0,0,8192,16384
storage,buckets_vectors,0,0,0,8192,16384
storage,s3_multipart_uploads_parts,0,0,0,8192,16384
auth,instances,0,0,0,8192,16384
